Source,Target,nt_type_banc,scalar,Weight
WV-WV-3,A2,GABA,0.5,56
WV-WV-4,SAD_pr02,GABA,0.5,55
WED_pr02,JO-A,GABA,0.5,53
SAD_pr01,AVLP_pr23,GABA,0.5,52
vpoIN-3,AVLP_pr31,GABA,0.5,52
aPN2,IPS/WED_pr01,Ach,0.5,52
B1-1,WV-WV-2,Ach,0.5,51
AVLP_pr36/asp10a-1,pC2la,Ach,0.5,51
B1-u,AVLP_pr23,Ach,0.5,51
WV-WV-2,WV-WV-1,GABA,1.0,50
WV-WV-1,B1-2,GABA,0.5,49
vpoEN,pC2la,Ach,1.0,48
A2,WV-WV-3,Ach,1.0,47
AVLP_pr36/asp10a-1,pC1d,Ach,0.5,46
vpoIN-1,pMN1,GABA,1.0,46
WV-WV-2,WED-VLP-2,GABA,0.5,45
B1-4,WV-WV-2,,0.5,45
AVLP_pr23,AVLP/PVLP_pr01-2,Ach,2.0,45
JO-A,WED-VLP-1,Ach,0.5,45
SAD_pr02,A2,GABA,0.5,44
IPS_pr02,IPS_pr01-1,GABA,2.0,44
WV-WV-3,AVLP/PVLP_pr01-2,GABA,0.5,43
AVLP_pr01-1,AVLP_pr23,GABA,0.5,43
WED-VLP-2,WED-VLP-2,Ach,2.0,43
WV-WV-3,AVLP/PVLP_pr01-2,GABA,0.5,42
WV-WV-4,WV-WV-1,GABA,1.0,41
pC2lb,PVLP_pr03-2,Ach,0.5,41
WED_pr02,WV-WV-3,GABA,0.5,40
B1-u,SAD_pr02,Ach,0.5,39
AVLP_pr22,PVLP_pr03-3,Ach,0.5,39
JO-A,B2,Ach,0.5,39
WED-VLP-1,vpoEN,Ach,0.5,37
SAD_pr02,B1-2,GABA,0.5,37
AVLP_pr23,WV-WV-3,Ach,0.5,36
B1-2,WV-WV-4,Ach,0.5,36
AVLP_pr23,AVLP_pr02,Ach,0.5,35
aPN2,B1-5,Ach,0.5,35
AVLP/PVLP_pr01-2,A1,Ach,0.5,35
WED-VLP-1,AVLP_pr02,Ach,0.5,35
B1-4,AVLP/PVLP_pr01-2,Ach,0.5,35
WV-WV-3,WV-WV-1,GABA,1.0,35
IPS_pr01-2,WED_pr01-1,GABA,0.5,35
AVLP_pr04,AVLP_pr11,SER,0.5,34
A2,WV-WV-3,Ach,0.5,34
WV-WV-2,B1-5,GABA,0.5,34
IPS_pr02,IPS_pr01-2,GABA,2.0,34
JO-A,WV-WV-4,Ach,1.0,34
AVLP/PVLP_pr01-2,GF,Ach,0.5,33
B1-5,WV-WV-1,Ach,0.5,33
AVLP_pr02,pMN2,GABA,0.5,33
vpoIN-2,AVLP_pr12,GABA,0.5,33
B1-3,GF,Ach,0.5,32
WV-WV-3,AVLP_pr23,GABA,0.5,32
WV-WV-1,AVLP_pr01-2,GABA,0.5,30
B1-4,B1-7,Ach,2.0,30
A2,WED-VLP-2,Ach,0.5,30
SAD_pr02,WV-WV-2,GABA,0.5,29
AVLP/PVLP_pr01-2,GF,Ach,0.5,29
AVLP_pr01-2,vpoIN-3,GABA,0.5,29
SAD_pr02,B1-7,GABA,0.5,28
B1-4,GF,,0.5,28
PVLP_pr03-3,AVLP_pr31,GABA,0.5,28
SAD_pr02,B1-u,GABA,0.5,27
B2,WV-WV-2,GABA,0.5,27
B1-5,B1-4,Ach,2.0,27
B1-3,A1,Ach,0.5,27
WED_pr01-1,IPS_pr01-1,Ach,0.5,27
AVLP_pr23,AVLP_pr05-1,Ach,2.0,26
B1-2,B1-4,Ach,2.0,26
B1-1,WV-WV-3,Ach,0.5,25
pC2lb,pMN2,Ach,1.0,25
B1-u,AVLP/PVLP_pr01-2,Ach,0.5,25
WV-WV-4,WED-VLP-2,GABA,0.5,24
A2,WV-WV-1,Ach,1.0,24
aPN2,IPS_pr01-1,Ach,0.5,24
vpoIN-1,AVLP_pr36/asp10a-1,GABA,0.5,24
B1-2,A1,Ach,0.5,22
B1-7,IPS_pr01-1,Ach,0.5,22
AVLP_pr18-1,AVLP_pr18-1,Inconclusive,2.0,22
WV-WV-1,SAD_pr02,GABA,0.5,22
B1-2,SAD_pr02,Ach,0.5,21
AVLP_pr02,pC2lb,GABA,0.5,21
PVLP_pr03-1,PVLP_pr03-1,GABA,2.0,21
B1-6,GF,Ach,0.5,20
AVLP_pr05-3,AVLP_pr18-1,GABA,0.5,20
