Source,Target,nt_type,Weight,Color
put_AVLP_pr05,put_AVLP_pr18,GABA,12,#D93636
PVLP_pr03,AVLP_pr31,GABA,11,#D93636
B1-4,B1-3,ACH,11,#27EBF5
vpoIN,pMN2,GLUT,11,#FC6EFF
vpoIN,pC2lc,GABA,11,#D93636
pC2la,PVLP_pr03,ACH,11,#27EBF5
A1,put_AVLP/PVLP,ACH,11,#27EBF5
WED_pr01,SAD_pr02,ACH,11,#27EBF5
B1-3,B1-2,ACH,11,#27EBF5
AVLP_pr01,put_AVLP_pr22,GABA,11,#D93636
pC2lc,pC2la,ACH,11,#27EBF5
put_GNG_pr01,GNG_pr01,GABA,10,#D93636
AVLP_pr05,AVLP_pr05,GABA,10,#D93636
WED-VLP-1,WED_pr02,ACH,10,#27EBF5
B1-5,put_AVLP_pr05,ACH,10,#27EBF5
WED-VLP-1,put_vpoIN,ACH,10,#27EBF5
B1,B2,ACH,10,#27EBF5
AVLP_pr02,pC1d,GABA,10,#D93636
B1-4,sad_pr0,ACH,10,#27EBF5
put_vpoIN,AVLP_pr36,GABA,10,#D93636
WV-WV-3,WED_pr01,GABA,10,#D93636
pC2la,pC2lb,ACH,10,#27EBF5
WV-WV-1,A1,GABA,10,#D93636
put_AVLP/PVLP,AVLP/PVLP_pr01,ACH,9,#27EBF5
vpoIN,put_AVLP_pr12,GABA,9,#D93636
WED_pr01,IPS_pr02,ACH,9,#27EBF5
B1-5,IPS_pr01,ACH,9,#27EBF5
put_WED-VLP,put_WED-VLP,ACH,9,#27EBF5
AVLP_pr05,put_AVLP_pr18,GABA,9,#D93636
pC2la,AVLP_pr04,ACH,8,#27EBF5
IPS_pr02,WED_pr01,GABA,8,#D93636
B1-3,WED_pr01,ACH,8,#27EBF5
B1-4,put_WED_pr02,ACH,8,#27EBF5
WV-WV-2,A2,GABA,7,#D93636
WV-WV-1,B1-3,GABA,7,#D93636
SAD_pr02,SAD_pr02,GABA,7,#D93636
GF,WED_pr02,ACH,7,#27EBF5
WED-VLP-2,WED-VLP-1,ACH,7,#27EBF5
AVLP_pr02,pC2lc,GABA,7,#D93636
AVLP_pr23,put_PVLP_pr03,ACH,7,#27EBF5
WV-WV-2,put_WED-VLP,GABA,7,#D93636
WED_pr01,sad_pr0,ACH,7,#27EBF5
B1-1,B1,ACH,7,#27EBF5
put_AVLP_pr11,put_AVLP_pr18,ACH,7,#27EBF5
put_PVLP_pr03,put_PVLP_pr03,GABA,7,#D93636
B1-4,WED-VLP-2,ACH,7,#27EBF5
SAD_pr02,put_WED_pr01,GABA,6,#D93636
AVLP_pr32,AVLP_pr32,ACH,6,#27EBF5
SAD_pr02,GF,GABA,6,#D93636
GF,A1,ACH,6,#27EBF5
AVLP_pr36,AVLP_pr02,ACH,6,#27EBF5
GF,WV-WV-3,ACH,6,#27EBF5
SAD_pr02,WED-VLP-1,GABA,6,#D93636
SAD_pr02,B2,GABA,6,#D93636
B1,put_IPS_pr01,ACH,6,#27EBF5
AVLP_pr32,pMN2,ACH,6,#27EBF5
GNG_pr01,GNG_pr01,GABA,6,#D93636
AVLP_pr32,pC2la,ACH,6,#27EBF5
put_WED_pr02,A1,GABA,6,#D93636
put_WED_pr02,AVLP_pr01,GABA,6,#D93636
put_PVLP_pr03,put_AVLP_pr31,GABA,6,#D93636
AVLP_pr12,AVLP_pr36,ACH,6,#27EBF5
put_AVLP_pr31,AVLP_pr31,ACH,6,#27EBF5
WED-VLP-1,WED-VLP-2,ACH,6,#27EBF5
AVLP_pr23,AVLP_pr01,ACH,6,#27EBF5
put_AVLP_pr36,AVLP_pr04,ACH,6,#27EBF5
WV-WV-2,put_AVLP_pr05,GABA,6,#D93636
put_PVLP_pr03,AVLP_pr31,GABA,6,#D93636
pMN1,pC1d,ACH,6,#27EBF5
B1-3,B1-4,ACH,6,#27EBF5
WV-WV-2,B1-4,GABA,6,#D93636
pC2lc,pC2lb,ACH,6,#27EBF5
WED_pr01,AVLP_pr04,ACH,6,#27EBF5
WV-WV-1,put_B1,GABA,6,#D93636
B1-4,WV-WV-1,ACH,6,#27EBF5
B1-5,put_B1,ACH,5,#27EBF5
put_vpoIN,pC1d,GABA,5,#D93636
pC2lc,vpoIN,ACH,5,#27EBF5
pC2lc,put_PVLP_pr03,ACH,5,#27EBF5
AVLP_pr23,WED_pr02,ACH,5,#27EBF5
A1,WV-WV-1,ACH,5,#27EBF5
GNG_pr01,put_GNG_pr01,GABA,5,#D93636
AVLP_pr32,pC2lb,ACH,5,#27EBF5
pC2lc,AVLP_pr36,ACH,5,#27EBF5
AVLP_pr01,put_AVLP_pr31,GABA,5,#D93636
GF,put_AVLP/PVLP,ACH,5,#27EBF5
WV-WV-1,B1-1,GABA,5,#D93636
pMN1,pC2lb,ACH,5,#27EBF5
AVLP_pr36,pC2lc,ACH,5,#27EBF5
