Source,Target,Weight,nt_type_banc,type_pre,type_post,layer_mean_pre,layer_mean_post,across_hemi_layer_pre,across_hemi_layer_post
720575940618475101,720575940620356545,1,Ach,pC2lb,pC1d,5.131410256,5.689102564,,5.790064103
720575940624704393,720575940612001489,15,Ach,B1-3,A1,2.509615385,3.746794872,,
720575940616313942,720575940618522433,3,inconclusive,A1,A1,3.939102564,3.730769231,,
720575940628256763,720575940637319134,10,GABA,vpoIN-2,AVLP_pr12,5.173076923,6.003205128,5.345619658,
720575940621835246,720575940605095346,12,GABA,WED_pr02,WV-WV-2,3.201923077,3.544871795,3.382386364,3.419337607
720575940634829168,720575940609996773,9,Ach,vpoEN,AVLP_pr36/asp10a-1,3.740384615,5.407051282,,
720575940627195691,720575940614310802,1,Ach,JO-A,B1-4,,2.708333333,,
720575940624662508,720575940632522848,4,Ach,AVLP_pr36/asp10a-1,pC2la,5.625,5.669871795,,
720575940640507763,720575940621835246,5,GABA,WED_pr02,WED_pr02,3.573717949,3.201923077,,3.382386364
720575940613934965,720575940630277175,5,Ach,JO-B,B1-5,,3.176282051,,
720575940621120353,720575940628159081,5,Ach,JO-B,JO-B,,,,
720575940630353682,720575940622609678,13,GABA,AVLP_pr01-2,WED-VLP-2,4.03525641,3.647435897,4.044471154,
720575940618056753,720575940605214636,4,Ach,JO-A,WV-WV-3,,2.53525641,,
720575940609289284,720575940644968302,4,Ach,JO-B,AVLP_pr23,,3.144230769,,3.192307692
720575940637389534,720575940624571116,6,Ach,JO-A,SAD_pr01,,2.384615385,,2.352564103
720575940612001489,720575940631153194,1,inconclusive,A1,AVLP_pr23,3.746794872,3.240384615,,
720575940619878485,720575940635330204,4,Ach,JO-A,WV-WV-1,,2.631410256,,
720575940633040097,720575940627263375,2,GABA,SAD_pr02,B1-4,2.987179487,2.766025641,,
720575940639241279,720575940622838154,2,Ach,B1-4,GF,3.092948718,3.179487179,,
720575940626162378,720575940631153194,3,Ach,JO-A,AVLP_pr23,,3.240384615,,
720575940614205708,720575940611277293,7,Ach,JO-B,B1-1,,2.092948718,,
720575940617034398,720575940640992731,2,Ach,AVLP_pr36/asp10a-1,pC2la,5.310897436,5.333333333,,
720575940630749523,720575940605095346,2,GABA,WED_pr02,WV-WV-2,3.5,3.544871795,,3.419337607
720575940634508174,720575940632385943,45,GABA,AVLP_pr01-1,vpoEN,2.570512821,3.746794872,,
720575940631469098,720575940609648395,1,Ach,JO-B,B1-u,,2.5,,
720575940615723077,720575940625345328,1,Ach,B1-5,WV-WV-2,2.573717949,2.996794872,3.178858481,
720575940627839304,720575940610358990,2,Ach,JO-B,B1-2,,2.448717949,,
720575940641972384,720575940610373326,1,Ach,AVLP_pr36/asp10a-1,pC2la,5.58974359,5.871794872,,
720575940635403230,720575940632522848,1,Ach,vpoEN,pC2la,3.625,5.669871795,,
720575940624770540,720575940632649697,15,Ach,JO-A,A2,,2.317307692,,
720575940630223052,720575940631153194,2,Ach,B1-1,AVLP_pr23,2.169871795,3.240384615,,
720575940604839200,720575940609513841,1,Ach,B1-2,WV-WV-4,2.423076923,3.467948718,,3.227564103
720575940629552170,720575940603930046,6,Ach,aPN2,aPN2,3.288461538,4.307692308,,
720575940630117879,720575940610638434,6,Ach,JO-B,B1-u,,2.230769231,,
720575940621870576,720575940622123981,11,Ach,JO-A,WV-WV-1,,2.326923077,,
720575940618475101,720575940638095293,1,Ach,pC2lb,pC2lb,5.131410256,4.929487179,,4.946714744
720575940615387846,720575940629552170,6,Ach,JO-B,aPN2,,3.288461538,,
720575940625146122,720575940602914988,5,Ach,A2,AVLP_pr01-1,2.291666667,2.621794872,,
720575940635282910,720575940618522433,4,Ach,B1-4,A1,2.560897436,3.730769231,,
720575940622065432,720575940632649697,3,GABA,AVLP_pr01-1,A2,2.592948718,2.317307692,,
720575940624594276,720575940610638434,7,Ach,JO-B,B1-u,,2.230769231,,
720575940632829507,720575940621558762,8,Ach,B1-6,WED_pr01-1,3.141025641,4.16025641,,
720575940613034602,720575940619486891,5,Ach,AVLP_pr36/asp10a-1,pMN1,5.278846154,5.224358974,,
720575940627538947,720575940622065432,3,Ach,JO-A,AVLP_pr01-1,,2.592948718,,
720575940614332899,720575940624571116,10,Ach,JO-A,SAD_pr01,,2.384615385,,2.352564103
720575940627985351,720575940634606693,2,Ach,JO-B,B1-7,,2.208333333,,3.024906517
720575940610638434,720575940624872179,2,Ach,B1-u,B1-u,2.230769231,2.185897436,,
720575940635981742,720575940642412941,2,GABA,WED_pr02,B1-2,3.378205128,3.221153846,,
720575940607371076,720575940635330204,34,Ach,B1-2,WV-WV-1,3.378205128,2.631410256,,
720575940642442893,720575940618392912,5,Ach,JO-B,B1-5,,2.637820513,,
720575940642063245,720575940603533246,4,Ach,JO-A,WV-WV-3,,2.778846154,,
720575940630258003,720575940622969528,1,GABA,WED_pr02,WED-VLP-1,3.403846154,3.378205128,,
720575940623587780,720575940603533246,4,Ach,JO-A,WV-WV-3,,2.778846154,,
720575940615408059,720575940623304906,6,Ach,B1-u,WED-VLP-1,4.092948718,3.448717949,,
720575940639803453,720575940630223052,5,Ach,JO-B,B1-1,,2.169871795,,
720575940619694512,720575940614310802,5,Ach,JO-A,B1-4,,2.708333333,,
720575940627410944,720575940611674265,28,Ach,B1-2,WED_pr02,2.298076923,3.128205128,,
720575940614840891,720575940628267264,18,Ach,B1-3,WED_pr02,2.541666667,3.445512821,,
720575940630353682,720575940618833840,19,GABA,AVLP_pr01-2,WED-VLP-1,4.03525641,3.314102564,4.044471154,
720575940625972624,720575940624704393,5,Ach,JO-B,B1-3,,2.509615385,,
720575940622577336,720575940615930299,5,Ach,B1-5,WED_pr02,2.939102564,3.608974359,,
720575940630344396,720575940621431492,1,Ach,pC2la,pC2la,5.240384615,5.762820513,,
720575940609832410,720575940632303807,2,Ach,B1-5,WED_pr01-1,4.240384615,4.269230769,,
720575940621431492,720575940636910825,3,Ach,pC2la,pC2la,5.762820513,5.673076923,,5.722467058
720575940622123981,720575940622699196,3,GABA,WV-WV-1,WED-VLP-2,2.326923077,3.336538462,,
720575940621242025,720575940620835327,3,Ach,B1-5,WV-WV-2,2.887820513,3.724358974,,
720575940631461451,720575940612146174,8,Ach,JO-B,B1-2,,2.663461538,,
720575940627249039,720575940621242025,2,Ach,JO-B,B1-5,,2.887820513,,
720575940605214636,720575940622838154,3,GABA,WV-WV-3,GF,2.53525641,3.179487179,,
720575940606010569,720575940620835327,2,Ach,B1-3,WV-WV-2,2.717948718,3.724358974,,
720575940622097959,720575940603186790,36,Ach,B1-1,WED-VLP-1,5.0,3.314102564,,
720575940622591049,720575940644488727,1,Ach,JO-A,SAD_pr01,,2.320512821,,
720575940638095293,720575940619688688,1,Ach,pC2lb,AVLP_pr36/asp10a-1,4.929487179,5.256410256,4.946714744,
720575940617362772,720575940625295339,1,Ach,AVLP_pr36/asp10a-1,pMN1,5.259615385,5.243589744,,5.233974359
720575940628910095,720575940610077026,1,Ach,B1-3,B1-2,3.256410256,3.105769231,2.726762821,
720575940625146122,720575940631153194,20,Ach,A2,AVLP_pr23,2.291666667,3.240384615,,
720575940618770625,720575940635330204,1,Ach,JO-A,WV-WV-1,,2.631410256,,
720575940615723077,720575940618409797,2,Ach,B1-5,B1-5,2.573717949,3.051282051,3.178858481,
720575940637410394,720575940644968302,6,GABA,WED_pr02,AVLP_pr23,3.147435897,3.144230769,,3.192307692
720575940618772719,720575940620833974,10,Ach,aPN2,aPN2,4.592948718,4.602564103,4.389880952,
720575940618392912,720575940631693610,5,Ach,B1-5,A1,2.637820513,3.823717949,,3.896367521
720575940621835246,720575940607371076,1,GABA,WED_pr02,B1-2,3.201923077,3.378205128,3.382386364,
720575940636705502,720575940620931348,4,GABA,vpoIN-3,pC2la,3.916666667,5.038461538,3.921474359,
720575940629938487,720575940624704393,11,GABA,WED_pr02,B1-3,3.378205128,2.509615385,,
720575940607188036,720575940609927141,19,Ach,B1-1,WED-VLP-1,2.108974359,3.134615385,,
720575940634299071,720575940632157631,3,GABA,WED_pr02,WED-VLP-1,3.243589744,3.346153846,,
720575940632229457,720575940632084705,8,Ach,JO-B,B1-7,,2.519230769,,
720575940612153086,720575940631631564,4,Ach,B1-6,B1-5,3.125,3.240384615,4.153846154,
720575940633300148,720575940623725972,3,Ach,pC2lb,pC2lb,5.173076923,4.830128205,,
720575940628910095,720575940620835327,2,Ach,B1-3,WV-WV-2,3.256410256,3.724358974,2.726762821,
