Source,Target,Weight,nt_type,type_pre_baker,type_pre_lockwood,type_post_baker,type_post_lockwood
720575940628256763,720575940637319134,10,GABA,vpoIN,vpoIN-2,AVLP_pr12,AVLP_pr12
720575940621835246,720575940605095346,12,GABA,put_WED_pr02,WED_pr02,WV-WV-2,WV-WV-2
720575940634829168,720575940609996773,9,ACH,,vpoEN,AVLP_pr36,AVLP_pr36/asp10a-1
720575940627195691,720575940614310802,1,ACH,,JO-A,B1-4,B1-4
720575940624662508,720575940632522848,4,ACH,put_AVLP_pr36,AVLP_pr36/asp10a-1,pC2la,pC2la
720575940640507763,720575940621835246,5,GABA,put_WED_pr02,WED_pr02,put_WED_pr02,WED_pr02
720575940613934965,720575940630277175,5,ACH,,JO-B,B1-5,B1-5
720575940621120353,720575940628159081,5,ACH,,JO-B,,JO-B
720575940630353682,720575940622609678,13,GABA,AVLP_pr01,AVLP_pr01-2,WED-VLP-2,WED-VLP-2
720575940618056753,720575940605214636,4,ACH,,JO-A,WV-WV-3,WV-WV-3
720575940609289284,720575940644968302,4,ACH,,JO-B,put_AVLP_pr23,AVLP_pr23
720575940637389534,720575940624571116,6,ACH,,JO-A,,SAD_pr01
720575940612001489,720575940631153194,1,ACH,A1,A1,AVLP_pr23,AVLP_pr23
720575940619878485,720575940635330204,4,ACH,,JO-A,WV-WV-1,WV-WV-1
720575940633040097,720575940627263375,2,GABA,SAD_pr02,SAD_pr02,B1-4,B1-4
720575940639241279,720575940622838154,2,ACH,B1-4,B1-4,GF,GF
720575940626162378,720575940631153194,3,ACH,,JO-A,AVLP_pr23,AVLP_pr23
720575940614205708,720575940611277293,7,ACH,,JO-B,B1-1,B1-1
720575940617034398,720575940640992731,2,ACH,AVLP_pr36,AVLP_pr36/asp10a-1,pC2lb,pC2lb
720575940630749523,720575940605095346,2,GABA,WED_pr02,WED_pr02,WV-WV-2,WV-WV-2
720575940634508174,720575940632385943,45,GABA,AVLP_pr01,AVLP_pr01-1,,vpoEN
720575940631469098,720575940609648395,1,ACH,,JO-B,B1,B1-u
720575940615723077,720575940625345328,1,ACH,B1-5,B1-5,WV-WV-2,WV-WV-2
720575940627839304,720575940610358990,2,ACH,,JO-B,B1-2,B1-2
720575940635403230,720575940632522848,1,ACH,,vpoEN,pC2la,pC2la
720575940624770540,720575940632649697,15,ACH,,JO-A,A2,A2
720575940630223052,720575940631153194,2,ACH,B1-1,B1-1,AVLP_pr23,AVLP_pr23
720575940604839200,720575940609513841,1,ACH,B1-2,B1-2,WV-WV-3,WV-WV-4
720575940629552170,720575940603930046,6,ACH,,aPN2,,aPN2
720575940630117879,720575940610638434,6,ACH,,JO-B,put_B1,B1-u
720575940621870576,720575940622123981,11,ACH,,JO-A,WV-WV-1,WV-WV-1
720575940618475101,720575940638095293,1,ACH,pC2lb,pC2lb,pC2lb,pC2lb
720575940615387846,720575940629552170,6,ACH,,JO-B,,aPN2
720575940625146122,720575940602914988,5,ACH,,A2,AVLP_pr01,AVLP_pr01-1
720575940635282910,720575940618522433,4,ACH,B1-4,B1-4,A1,A1
720575940622065432,720575940632649697,3,GABA,AVLP_pr01,AVLP_pr01-1,A2,A2
720575940624594276,720575940610638434,7,ACH,,JO-B,put_B1,B1-u
720575940632829507,720575940621558762,8,ACH,B1,B1-6,put_WED_pr01,WED_pr01-1
720575940613034602,720575940619486891,5,ACH,AVLP_pr36,AVLP_pr36/asp10a-1,pMN1,pMN1
