Id,Label,NT2026 (FAFB and BANC),layer_mean[z],Across-hemi_layer_mean
720575940638666473,WED_pr01-2,Ach,3.96474359,
720575940629687824,GNG_pr01-1,GABA,5.205128205,5.061298077
720575940655398817,GNG_pr01-1,GABA,4.676282051,
720575940630203589,GNG_pr01-1,GABA,4.884615385,
720575940615966943,GNG_pr01-1,GABA,5.375,
720575940635520489,GNG_pr01-1,GABA,5.073717949,
720575940625778428,GNG_pr01-1,GABA,5.413461538,
720575940628869391,GNG_pr01-1,GABA,4.852564103,
720575940617641077,GNG_pr01-1,GABA,5.009615385,
720575940619615770,GNG_pr01-2,GABA,4.823717949,4.933760684
720575940621429757,GNG_pr01-2,GABA,5.304487179,
720575940612801022,GNG_pr01-2,GABA,4.673076923,
720575940641626056,GNG_pr01-2,GABA,5.554487179,
720575940630571068,GNG_pr01-2,GABA,5.625,
720575940630622803,AVLP_pr22,Ach,5.003205128,4.848237179
720575940613530636,AVLP_pr22,Ach,4.666666667,
720575940611713634,AVLP_pr22,Ach,4.948717949,
720575940618003672,AVLP_pr22,Ach,4.580128205,
720575940639256704,AVLP_pr22,Ach,4.948717949,
720575940627660905,AVLP_pr22,Ach,4.814102564,
720575940633613026,AVLP_pr22,Ach,5.150641026,
720575940632527571,AVLP_pr22,Ach,4.666666667,
720575940613917042,AVLP_pr22,Ach,4.903846154,
720575940616420150,IPS/WED_pr01,GABA,5.272435897,5.505215618
720575940632184928,IPS/WED_pr01,GABA,5.634615385,
720575940612975007,IPS/WED_pr01,GABA,5.775641026,
720575940642686999,IPS/WED_pr01,GABA,5.682692308,
720575940630049617,IPS/WED_pr01,GABA,5.506410256,
720575940615768861,IPS/WED_pr01,GABA,4.935897436,
720575940630622509,IPS/WED_pr01,GABA,5.971153846,
720575940631968855,IPS/WED_pr01,GABA,4.71474359,
720575940615906388,IPS/WED_pr01,GABA,5.326923077,
720575940626096138,IPS/WED_pr01,GABA,5.644230769,
720575940625799950,IPS/WED_pr01,GABA,5.451923077,
720575940615236582,IPS/WED_pr01,GABA,5.256410256,
720575940609291214,IPS/WED_pr01,GABA,5.448717949,
720575940623802298,IPS/WED_pr01,GABA,5.528846154,
720575940629211960,IPS/WED_pr01,GABA,5.637820513,
720575940618225030,IPS/WED_pr01,GABA,5.788461538,
720575940625391397,IPS/WED_pr01,GABA,5.596153846,
720575940616708108,IPS/WED_pr01,GABA,5.83974359,
720575940619233812,IPS/WED_pr01,GABA,5.009615385,
720575940625344529,IPS/WED_pr01,GABA,5.923076923,
720575940625779655,IPS/WED_pr01,GABA,5.605769231,
720575940634709872,AVLP_pr31,Ach,4.375,4.337873932
720575940607254723,AVLP_pr31,Ach,4.519230769,
720575940619590081,AVLP_pr31,Ach,4.304487179,
720575940620801304,AVLP_pr31,Ach,4.358974359,
720575940622754756,AVLP_pr31,Ach,4.307692308,
720575940627952207,AVLP_pr31,Ach,4.237179487,
720575940611694545,AVLP_pr31,Ach,4.298076923,
720575940627827450,AVLP_pr31,Ach,4.352564103,
720575940648981881,AVLP_pr32,Ach,4.548076923,4.680555556
720575940610929379,AVLP_pr32,Ach,4.846153846,
720575940617353433,AVLP_pr32,Ach,4.647435897,
720575940621324996,SAD_pr02,GABA,2.352564103,2.529761905
720575940617197057,SAD_pr02,GABA,3.022435897,
720575940617884736,SAD_pr02,GABA,2.147435897,
720575940630659446,SAD_pr02,GABA,2.637820513,
720575940615868485,SAD_pr02,GABA,2.621794872,
720575940612338674,SAD_pr02,GABA,2.71474359,
720575940623292713,SAD_pr02,GABA,2.211538462,
720575940620910774,SAD_pr02,GABA,3.323717949,
720575940608432760,SAD_pr02,GABA,4.070512821,
720575940633040097,SAD_pr02,GABA,2.987179487,
720575940623090446,SAD_pr02,GABA,4.192307692,
720575940627939177,SAD_pr02,GABA,3.830128205,
720575940645497140,SAD_pr02,GABA,4.048076923,
720575940615625053,SAD_pr02,GABA,3.602564103,
720575940620859886,SAD_pr02,GABA,3.291666667,
720575940628846966,SAD_pr02,GABA,3.051282051,
720575940611335859,SAD_pr02,GABA,3.096153846,
720575940629513478,AVLP_pr04,SER,6.006410256,5.858974359
720575940623113752,AVLP_pr04,SER,5.711538462,
720575940628333788,AVLP_pr12,Ach,5.987179487,5.841091779
