Source,Target,Weight
IPS_pr02,B1-4,20
AVLP_pr36,put_vpoIN,20
pC2la,pC1e,19
put_AVLP_pr01,WED-VLP-2,19
put_WED-VLP,vpoIN,19
vpoIN,put_AVLP_pr31,19
AVLP_pr01,WED_pr02,19
A1,B1-4,19
B1,put_B1,19
GNG_pr01,put_AVLP_pr23,19
WV-WV-2,WED_pr01,19
A2,A2,19
put_AVLP_pr23,WV-WV-2,18
AVLP_pr23,AVLP_pr02,18
AVLP_pr05,put_SAD_pr02,18
WV-WV-1,AVLP/PVLP_pr01,18
WV-WV-2,AVLP_pr05,17
put_GNG_pr01,AVLP_pr04,17
AVLP_pr02,AVLP_pr36,17
put_AVLP_pr23,AVLP_pr02,17
PVLP_pr03,put_PVLP_pr03,17
AVLP_pr23,AVLP_pr05,17
WED_pr02,WED_pr01,17
B1-5,put_AVLP/PVLP,17
put_AVLP_pr01,AVLP_pr22,17
B1-2,put_B1,17
AVLP_pr36,vpoIN,17
put_AVLP_pr36,pC1d,16
put_AVLP_pr23,AVLP_pr05,16
WED-VLP-2,put_WED-VLP,16
pC1d,pMN2,16
A2,WED_pr02,16
vpoIN,AVLP_pr32,16
A1,WV-WV-3,16
put_IPS/WED_pr01,IPS_pr02,15
put_WED_pr02,B1,15
PVLP_pr03,pC2la,15
WV-WV-3,WED-VLP-2,15
WED_pr01,IPS_pr01,15
B1-4,put_SAD_pr02,14
A1,AVLP/PVLP_pr01,14
AVLP_pr04,AVLP_pr11,14
vpoIN,pC2la,14
WV-WV-3,AVLP/PVLP_pr01,14
put_B1,AVLP_pr05,14
WV-WV-1,AVLP_pr02,14
WV-WV-2,put_SAD_pr02,14
A2,put_WED_pr02,13
put_AVLP_pr23,WV-WV-1,13
PVLP_pr03,put_AVLP_pr31,13
put_WED-VLP,AVLP_pr32,13
AVLP_pr23,WV-WV-2,13
WV-WV-3,put_WED-VLP,13
AVLP_pr01,pC2lb,13
GNG_pr01,GF,13
put_vpoIN,put_AVLP_pr12,13
A1,AVLP_pr23,13
AVLP/PVLP_pr01,GF,12
put_AVLP_pr05,put_AVLP_pr18,12
WED_pr01,put_IPS_pr01,12
B1-4,IPS_pr01,12
B1-2,B1-5,12
B1-1,B1-3,12
put_SAD_pr02,WED-VLP-1,12
B1-2,B1-3,12
pC2lc,pC2la,11
PVLP_pr03,AVLP_pr31,11
pC2la,PVLP_pr03,11
B1-3,B1-2,11
B1-4,B1-3,11
AVLP_pr01,put_AVLP_pr22,11
vpoIN,pC2lc,11
WED_pr01,SAD_pr02,11
A1,put_AVLP/PVLP,11
B1,B2,10
B1-4,sad_pr0,10
B1-5,put_AVLP_pr05,10
WV-WV-1,A1,10
AVLP_pr02,pC1d,10
pC2la,pC2lb,10
AVLP_pr05,AVLP_pr05,10
put_vpoIN,AVLP_pr36,10
WV-WV-3,WED_pr01,10
put_GNG_pr01,GNG_pr01,10
WED-VLP-1,put_vpoIN,10
WED-VLP-1,WED_pr02,10
B1-5,IPS_pr01,9
WED_pr01,IPS_pr02,9
vpoIN,put_AVLP_pr12,9
AVLP_pr05,put_AVLP_pr18,9
put_AVLP/PVLP,AVLP/PVLP_pr01,9
put_WED-VLP,put_WED-VLP,9
B1-3,WED_pr01,8
pC2la,AVLP_pr04,8
B1-4,put_WED_pr02,8
IPS_pr02,WED_pr01,8
AVLP_pr02,pC2lc,7
SAD_pr02,SAD_pr02,7
put_PVLP_pr03,put_PVLP_pr03,7
B1-1,B1,7
put_AVLP_pr11,put_AVLP_pr18,7
AVLP_pr23,put_PVLP_pr03,7
WV-WV-1,B1-3,7
B1-4,WED-VLP-2,7
WED-VLP-2,WED-VLP-1,7
WV-WV-2,A2,7
GF,WED_pr02,7
WED_pr01,sad_pr0,7
WV-WV-2,put_WED-VLP,7
put_AVLP_pr31,AVLP_pr31,6
SAD_pr02,GF,6
WED-VLP-1,WED-VLP-2,6
WED_pr01,AVLP_pr04,6
GF,WV-WV-3,6
AVLP_pr36,AVLP_pr02,6
SAD_pr02,put_WED_pr01,6
AVLP_pr32,pMN2,6
WV-WV-2,put_AVLP_pr05,6
SAD_pr02,B2,6
AVLP_pr32,AVLP_pr32,6
GNG_pr01,GNG_pr01,6
SAD_pr02,WED-VLP-1,6
put_WED_pr02,A1,6
put_WED_pr02,AVLP_pr01,6
WV-WV-1,put_B1,6
put_AVLP_pr36,AVLP_pr04,6
AVLP_pr23,AVLP_pr01,6
AVLP_pr32,pC2la,6
AVLP_pr12,AVLP_pr36,6
B1,put_IPS_pr01,6
WV-WV-2,B1-4,6
B1-4,WV-WV-1,6
pC2lc,pC2lb,6
put_PVLP_pr03,AVLP_pr31,6
pMN1,pC1d,6
B1-3,B1-4,6
GF,A1,6
put_PVLP_pr03,put_AVLP_pr31,6
put_vpoIN,pC1d,5
A1,B1,5
A2,B1-2,5
WED-VLP-1,put_AVLP_pr22,5
A1,WV-WV-1,5
AVLP_pr04,AVLP_pr12,5
WV-WV-3,put_WED_pr02,5
pC2lc,put_PVLP_pr03,5
pC2lc,AVLP_pr36,5
A2,WED-VLP-2,5
WV-WV-2,AVLP_pr23,5
SAD_pr02,put_B1,5
pC2lc,vpoIN,5
AVLP_pr12,pC1d,5
AVLP_pr01,put_AVLP_pr31,5
pMN1,pC2lc,5
WV-WV-2,put_AVLP_pr23,5
pMN1,pC2lb,5
pMN1,pC2la,5
put_AVLP_pr31,AVLP_pr36,5
AVLP_pr22,put_AVLP_pr22,5
pC2la,put_PVLP_pr03,5
put_AVLP_pr22,put_AVLP_pr22,5
PVLP_pr03,put_WED_pr01,5
put_AVLP_pr22,vpoIN,5
WV-WV-1,A2,5
PVLP_pr03,pC2lc,5
put_B1,SAD_pr02,5
B1-5,put_B1,5
AVLP_pr22,vpoIN,5
GF,B1-4,5
GF,put_AVLP/PVLP,5
put_AVLP_pr31,AVLP_pr32,5
WED_pr02,A1,5
GNG_pr01,put_GNG_pr01,5
PVLP_pr03,A1,5
WED-VLP-2,WV-WV-3,5
pC1e,pC2la,5
SAD_pr02,AVLP_pr23,5
put_AVLP_pr12,AVLP_pr04,5
pC1e,pC1e,5
put_SAD_pr02,WV-WV-2,5
B1,B1-3,5
AVLP_pr36,pC2lc,5
AVLP_pr36,AVLP_pr04,5
put_AVLP_pr36,AVLP_pr02,5
put_WED-VLP,WV-WV-3,5
AVLP_pr32,pC2lb,5
put_WED_pr01,IPS/WED_pr01,5
AVLP_pr23,WED_pr02,5
put_WED_pr01,put_IPS/WED_pr01,5
pC1d,pC2la,5
WV-WV-1,B1-1,5
AVLP_pr32,put_AVLP_pr31,5
