Source,Target,nt_type_banc,layer_mean_pre,layer_mean_post,Weight
WED-VLP-1,WED-VLP-1,Ach,3.137820513,3.378205128,13
B1-2,WED-VLP-2,Ach,2.448717949,3.560897436,13
B1-2,WED-VLP-2,Ach,2.448717949,3.647435897,13
WED-VLP-1,AVLP_pr32,Ach,3.224358974,4.548076923,13
PVLP_pr03-3,A1,GABA,4.855769231,3.823717949,13
pC2lb,AVLP_pr36/asp10a-1,Ach,5.131410256,5.471153846,13
aPN3,aPN2,GLUT,5.041666667,4.602564103,13
PVLP_pr03-3,AVLP_pr31,GABA,4.657051282,4.307692308,13
B1-2,WED_pr02,Ach,2.246794872,3.243589744,13
WED-VLP-1,AVLP_pr31,Ach,3.253205128,4.307692308,13
pC1d,pC1d,Ach,5.891025641,5.689102564,13
AVLP_pr36/asp10a-1,pC2lb,Ach,5.256410256,5.131410256,13
WED_pr02,AVLP_pr23,GABA,3.439102564,3.144230769,13
B1-5,WED_pr02,Ach,3.615384615,3.541666667,13
B1-4,B1-7,Ach,3.092948718,2.487179487,13
B1-u,WV-WV-3,Ach,2.272435897,2.53525641,13
AVLP_pr01-2,WED-VLP-2,GABA,4.03525641,3.647435897,13
B1-5,SAD_pr02,Ach,2.929487179,3.096153846,13
B1-5,WV-WV-2,Ach,3.048076923,3.5,13
vpoEN,AVLP_pr36/asp10a-1,Ach,3.746794872,5.237179487,13
WED_pr02,WV-WV-2,GABA,3.403846154,3.724358974,13
B1-5,SAD_pr02,Ach,4.240384615,4.048076923,13
B1-5,WED_pr02,Ach,2.939102564,3.362179487,13
WV-WV-1,WED_pr02,GABA,2.326923077,3.516025641,13
B1-6,GF,Ach,3.141025641,3.467948718,13
B1-5,AVLP_pr04,Ach,3.147435897,6.006410256,13
B1-5,WED_pr01-1,Ach,3.615384615,4.083333333,13
WED_pr02,WV-WV-1,GABA,3.439102564,3.176282051,13
WV-WV-1,B1-2,GABA,2.631410256,2.435897436,13
B1-6,aPN3,Ach,4.855769231,5.176282051,13
B1-u,WV-WV-1,Ach,4.189102564,3.176282051,13
AVLP_pr01-2,WED-VLP-1,GABA,3.823717949,3.176282051,13
WED_pr02,WV-WV-2,GABA,3.317307692,3.724358974,13
AVLP_pr01-1,WED-VLP-1,GABA,3.631410256,3.246794872,13
WED_pr02,WV-WV-4,GABA,3.378205128,3.467948718,13
B1-5,WV-WV-2,Ach,3.141025641,2.996794872,13
B1-5,WED_pr01-1,Ach,3.176282051,4.019230769,13
B1-5,WED_pr01-1,Ach,2.929487179,4.038461538,13
vpoEN,pC2la,Ach,3.625,5.038461538,13
WED_pr02,WV-WV-2,GABA,3.362179487,3.724358974,13
B1-5,WED_pr01-1,Ach,3.240384615,4.083333333,13
B1-5,B1-5,Ach,3.365384615,3.240384615,13
AVLP_pr01-2,WED-VLP-1,GABA,4.070512821,3.224358974,13
B1-5,AVLP_pr04,Ach,3.028846154,5.711538462,13
B1-4,A1,Ach,3.169871795,3.823717949,13
pC2lb,pC2lb,Ach,4.929487179,4.830128205,13
vpoEN,pC2lb,Ach,3.746794872,4.871794872,13
AVLP_pr01-1,AVLP_pr23,GABA,2.621794872,3.144230769,13
WV-WV-1,B1-2,GABA,2.631410256,3.743589744,13
B1-u,B1-7,Ach,2.381410256,2.208333333,13
B1-7,SAD_pr02,Ach,2.208333333,3.022435897,13
WED_pr02,vpoEN,GABA,3.128205128,3.746794872,13
vpoEN,pC2la,Ach,3.625,5.333333333,13
B1-6,B1-7,Ach,3.185897436,2.519230769,13
WED_pr02,WED_pr02,GABA,3.378205128,3.096153846,12
AVLP_pr01-2,WED-VLP-1,GABA,4.038461538,3.246794872,12
WED-VLP-1,WED_pr02,Ach,3.314102564,3.243589744,12
AVLP_pr01-2,AVLP_pr22,GABA,4.0,4.580128205,12
B1-4,GF,Ach,2.766025641,3.467948718,12
WED_pr02,WED_pr02,GABA,3.317307692,3.541666667,12
vpoEN,pC2lb,Ach,3.746794872,5.173076923,12
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,Ach,5.490384615,5.58974359,12
WED-VLP-2,WV-WV-1,Ach,3.448717949,2.631410256,12
AVLP_pr01-1,WED-VLP-1,GABA,2.996794872,3.272435897,12
WED-VLP-1,AVLP_pr01-1,Ach,3.272435897,2.592948718,12
vpoEN,pMN1,Ach,3.641025641,5.224358974,12
WV-WV-3,SAD_pr01,GABA,2.53525641,2.320512821,12
WED_pr02,WV-WV-1,GABA,3.317307692,2.631410256,12
pC2la,pC2la,Ach,5.762820513,5.240384615,12
B1-2,WED_pr02,Ach,2.298076923,3.243589744,12
B1-4,B1-7,Ach,2.708333333,3.150641026,12
IPS_pr01-1,WED_pr01-1,GABA,4.759615385,4.21474359,12
pC2lb,pC2la,Ach,4.830128205,5.586538462,12
pC2la,pC1e,Ach,5.333333333,6.144230769,12
WED-VLP-1,AVLP_pr01-2,Ach,3.176282051,4.03525641,12
WV-WV-2,B1-5,GABA,2.996794872,3.051282051,12
AVLP_pr36/asp10a-1,pC1d,Ach,5.278846154,5.891025641,12
B1-2,WV-WV-2,Ach,3.903846154,3.5,12
IPS_pr01-2,WED_pr01-1,GABA,3.019230769,4.21474359,12
pC2lb,pC1d,Ach,4.830128205,5.689102564,12
WV-WV-1,WED-VLP-1,GABA,2.631410256,3.054487179,12
IPS_pr01-2,WED_pr01-2,GABA,2.791666667,3.96474359,12
WV-WV-2,WV-WV-1,GABA,3.394230769,3.176282051,12
AVLP_pr01-2,WED-VLP-1,GABA,4.038461538,3.256410256,12
B1-5,B1-5,Ach,3.240384615,3.134615385,12
aPN3,aPN2,GLUT,5.041666667,4.307692308,12
WED_pr02,B1-2,GABA,3.096153846,2.663461538,12
pC2lb,pC2lb,Ach,5.173076923,4.871794872,12
IPS_pr02,B1-6,GABA,3.403846154,3.125,12
AVLP_pr36/asp10a-1,PVLP_pr03-2,Ach,5.471153846,5.967948718,12
IPS_pr02,B1-7,GABA,3.403846154,2.358974359,12
AVLP_pr01-2,vpoEN,GABA,3.935897436,3.625,12
WED_pr02,WV-WV-1,GABA,3.541666667,2.326923077,12
A2,A2,Ach,2.298076923,2.317307692,12
AVLP_pr36/asp10a-1,pC2lb,Ach,5.541666667,5.131410256,12
WED_pr02,B1-3,GABA,3.397435897,2.833333333,12
WED-VLP-2,pC2lb,Ach,3.669871795,5.131410256,12
WV-WV-2,WED-VLP-2,GABA,3.355769231,3.346153846,12
SAD_pr02,B1-3,GABA,3.096153846,2.817307692,12
AVLP_pr36/asp10a-1,pC2lb,Ach,5.310897436,5.173076923,12
WED_pr02,B1-2,GABA,3.403846154,3.903846154,12
SAD_pr02,B1-3,GABA,4.192307692,2.817307692,12
B1-u,B1-u,Ach,3.201923077,4.189102564,12
SAD_pr02,B1-4,GABA,2.987179487,2.766025641,12
WED_pr02,WV-WV-2,GABA,3.317307692,3.544871795,12
B1-5,SAD_pr02,Ach,2.833333333,3.051282051,12
WED-VLP-1,WED-VLP-1,Ach,3.137820513,3.314102564,12
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,Ach,5.237179487,5.182692308,12
WED_pr02,WV-WV-2,GABA,3.403846154,3.394230769,12
B1-u,B1-u,Ach,2.272435897,2.381410256,12
WED_pr02,WED-VLP-1,GABA,3.378205128,3.134615385,12
B1-6,WV-WV-3,Ach,3.320512821,2.53525641,12
pC2lb,AVLP_pr36/asp10a-1,Ach,4.929487179,5.471153846,12
AVLP/PVLP_pr01-2,A1,Ach,4.025641026,4.294871795,12
SAD_pr02,B1-5,GABA,4.070512821,3.615384615,12
WV-WV-1,WED-VLP-2,GABA,2.326923077,3.560897436,12
B1-4,WED_pr01-1,Ach,2.426282051,4.115384615,12
WED_pr02,B1-5,GABA,3.608974359,3.240384615,12
